"Video-Auswertung: Zeit (s)",   "Video-Auswertung: X (m)",   "Video-Auswertung: Y (m)",   "Video-Auswertung: X-Geschwindigkeit (m/s)",   "Video-Auswertung: Y-Geschwindigkeit (m/s)"
0.617,0.0599320090446,2.71687230801,5.69129990695,1.13983414028
0.633,0.148084906774,2.73576221466,5.87304370584,0.987744950744
0.65,0.248831075607,2.75465212132,6.10991907035,0.697856935466
0.667,0.368467151096,2.76724539242,5.70687062377,0.0510480290687
0.683,0.437730142169,2.74835548577,5.27467821699,-0.222133682977
0.7,0.538476311002,2.75465212132,5.09060349421,-0.211477911219
0.717,0.601442666523,2.74835548577,5.33812871003,-0.484977635161
0.733,0.71478210646,2.73576221466,5.66947812047,-0.685168497274
0.75,0.809231639741,2.72316894356,5.02492468427,-0.756344529535
0.767,0.859604724158,2.72316894356,5.54881396473,-1.44586244676
0.783,0.991834070751,2.66020258804,6.07176791607,-1.37893755509
0.8,1.09258023958,2.6790924947,5.02275472074,-1.33789475545
0.817,1.142953324,2.62242277473,4.8734990898,-1.60407573853
0.833,1.24369949283,2.60982950362,5.1934143113,-1.07173806301
0.85,1.32555575501,2.59723623252,5.04677397223,-1.14893956914
0.867,1.41370865274,2.57834632586,4.93853014943,-1.58946617707
0.883,1.48926827936,2.5468631481,4.72306298976,-2.19647382767
0.9,1.57112454154,2.49649006369,4.49612702002,-2.32522816139
0.917,1.64038753261,2.46500688592,4.37874513244,-2.31839962043
0.935,1.71594715924,2.42722707261,4.65104424392,-2.80761746769
0.952,1.81039669252,2.36426071709,4.61771980401,-3.19134291498
0.968,1.87336304804,2.30759099712,4.28674585211,-2.82660741098
0.985,1.94262603911,2.27610781936,4.1228371732,-2.49113683848
1.002,2.03077893684,2.21943809939,2.80841052307,-1.74336494922
1.018,2.07485538571,2.18795492163,-0.654795987929,0.6641797121
1.035,1.99929575908,2.2446246416,-3.66776214921,2.89052236741
1.052,1.91743949691,2.30759099712,-4.91549089949,3.96014519062
1.068,1.84187987028,2.38315062375,-6.02583180958,4.37102130744
1.085,1.70335388814,2.45871025037,-6.11478886698,4.21145025285
1.102,1.62149762596,2.52797324145,-5.57776254021,3.92817787535
1.118,1.53334472823,2.59093959697,-5.68508443563,3.50458602912
1.135,1.43889519495,2.63501604583,-6.07466324827,3.53417844607
1.152,1.31925911946,2.71057567246,-6.15925441275,3.61301859296
1.168,1.23740285728,2.76094875687,-6.29663555207,3.35797779835
1.185,1.11147014624,2.81761847684,-6.43121070407,3.31437610579
1.202,1.01702061296,2.87428819681,-6.48475145501,3.21025889917
1.218,0.903681173022,2.91836464567,-6.81420703341,3.36066903336
1.235,0.784045097533,2.9939242723,-6.73279822151,3.05323221896
1.252,0.670705657596,3.02540745006,-6.49413517918,2.63019096049
1.268,0.582552759867,3.06948389892,-6.85476066989,2.77917716081
1.285,0.444026777721,3.11356034779,-7.21926289035,3.03039148215
1.302,0.324390702232,3.18282333886,-6.98979969534,2.76565699454
1.318,0.223644533398,3.22060315217,-7.25545565957,1.66195865015
1.335,0.0851185512529,3.22060315217,-7.68754476134,0.738423623834
